"","mpg","cylinders","displacement","horsepower","weight","acceleration","year","origin","name"
"140",29,4,98,83,2219,16.5,74,2,"audi fox"
"207",13,8,318,150,3940,13.2,76,1,"plymouth volare premier v8"
"174",29,4,90,70,1937,14,75,2,"volkswagen rabbit"
"363",28,4,112,88,2605,19.6,82,1,"chevrolet cavalier"
"170",24,4,134,96,2702,13.5,75,3,"toyota corona"
"297",23,8,350,125,3900,17.4,79,1,"cadillac eldorado"
"150",31,4,79,67,2000,16,74,2,"fiat x1.9"
"85",13,8,350,175,4100,13,73,1,"buick century 350"
"314",24.3,4,151,90,3003,20.1,80,1,"amc concord"
"92",13,8,351,158,4363,13,73,1,"ford ltd"
"391",28,4,120,79,2625,18.6,82,1,"ford ranger"
"32",25,4,113,95,2228,14,71,3,"toyota corona"
"157",16,8,318,150,4498,14.5,75,1,"plymouth grand fury"
"38",14,8,350,165,4209,12,71,1,"chevrolet impala"
"226",19,6,225,100,3630,17.7,77,1,"plymouth volare custom"
"1",18,8,307,130,3504,12,70,1,"chevrolet chevelle malibu"
"158",14,8,351,148,4657,13.5,75,1,"ford ltd"
"93",14,8,318,150,4237,14.5,73,1,"plymouth fury gran sedan"
"113",21,6,155,107,2472,14,73,1,"mercury capri v6"
"302",31.8,4,85,65,2020,19.2,79,3,"datsun 210"
"133",16,6,258,110,3632,18,74,1,"amc matador"
"146",24,4,90,75,2108,15.5,74,2,"fiat 128"
"35",17,6,250,100,3329,15.5,71,1,"chevrolet chevelle malibu"
"217",36,4,79,58,1825,18.6,77,2,"renault 5 gtl"
"89",15,8,318,150,3777,12.5,73,1,"dodge coronet custom"
"43",13,8,400,170,4746,12,71,1,"ford country squire (sw)"
"147",26,4,116,75,2246,14,74,2,"fiat 124 tc"
"111",18,3,70,90,2124,13.5,73,3,"maxda rx3"
"378",38,4,91,67,1965,15,82,3,"honda civic"
"50",28,4,116,90,2123,14,71,2,"opel 1900"
"244",36.1,4,98,66,1800,14.4,78,1,"ford fiesta"
"385",32,4,144,96,2665,13.9,82,3,"toyota celica gt"
"42",12,8,383,180,4955,11.5,71,1,"dodge monaco (sw)"
"231",16,8,351,149,4335,14.5,77,1,"ford thunderbird"
"10",15,8,390,190,3850,8.5,70,1,"amc ambassador dpl"
"12",14,8,340,160,3609,8,70,1,"plymouth 'cuda 340"
"130",32,4,71,65,1836,21,74,3,"toyota corolla 1200"
"97",18,6,225,105,3121,16.5,73,1,"plymouth valiant"
"315",19.1,6,225,90,3381,18.7,80,1,"dodge aspen"
"346",34.1,4,91,68,1985,16,81,3,"mazda glc 4"
"186",17.5,8,305,140,4215,13,76,1,"chevrolet chevelle malibu classic"
"223",15,8,302,130,4295,14.9,77,1,"mercury cougar brougham"
"347",34.7,4,105,63,2215,14.9,81,1,"plymouth horizon 4"
"80",22,4,122,86,2395,16,72,1,"ford pinto (sw)"
"156",15,8,350,145,4440,14,75,1,"chevrolet bel air"
"121",15,8,318,150,3399,11,73,1,"dodge dart custom"
"247",36.1,4,91,60,1800,16.4,78,3,"honda civic cvcc"
"243",43.1,4,90,48,1985,21.5,78,2,"volkswagen rabbit custom diesel"
"110",22,4,108,94,2379,16.5,73,3,"datsun 610"
"145",28,4,90,75,2125,14.5,74,1,"dodge colt"
"234",26,4,97,75,2265,18.2,77,3,"toyota corolla liftback"
"275",21.6,4,121,115,2795,15.7,78,2,"saab 99gle"
"289",15.5,8,351,142,4054,14.3,79,1,"ford country squire (sw)"
"68",13,8,350,155,4502,13.5,72,1,"buick lesabre custom"
"73",13,8,307,130,4098,14,72,1,"chevrolet chevelle concours (sw)"
"83",28,4,98,80,2164,15,72,1,"dodge colt (sw)"
"329",33.8,4,97,67,2145,18,80,3,"subaru dl"
"316",34.3,4,97,78,2188,15.8,80,2,"audi 4000"
"6",15,8,429,198,4341,10,70,1,"ford galaxie 500"
"251",19.2,6,231,105,3535,19.2,78,1,"pontiac phoenix lj"
"344",37,4,85,65,1975,19.4,81,3,"datsun 210 mpg"
"26",10,8,360,215,4615,14,70,1,"ford f250"
"120",19,4,121,112,2868,15.5,73,2,"volvo 144ea"
"102",26,4,97,46,1950,21,73,2,"volkswagen super beetle"
"312",28,4,151,90,2678,16.5,80,1,"chevrolet citation"
"192",24,6,200,81,3012,17.6,76,1,"ford maverick"
"138",14,8,302,140,4638,16,74,1,"ford gran torino (sw)"
"222",15.5,8,318,145,4140,13.7,77,1,"dodge monaco brougham"
"84",27,4,97,88,2100,16.5,72,3,"toyota corolla 1600 (sw)"
